waypoint1	waypoint2	distance_m	duration_s
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	3987160	133422
Flagstaff, AZ	Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	1362582	47305
Olympia, WA	Indianola, MS	3976779	129350
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Dallas, TX	2518684	84614
Olympia, WA	Charleston, SC	4793164	157061
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	San Antonio, TX	2614062	84317
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	615611	24297
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Little Rock, AR	3295415	108258
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	688147	25532
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	New Orleans, LA	2966843	96969
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Oklahoma City, OK	2425263	79387
Glacier National Park	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1414403	47130
Bandon, OR	Tulsa, OK	3329678	112031
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	3481494	115206
Olympia, WA	Lincoln, NE	2753018	89050
Manzanar, Manzanar Reward Rd, California	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	2421194	81629
Tillamook, OR	Vicksburg, MS	4007196	131400
Glacier National Park	Yellowstone National Park Visitor Center	660454	26065
Manzanar, Manzanar Reward Rd, California	Bryce Canyon National Park Visitor Center, Bryce, UT	791090	27977
Carlsbad, NM	Seattle, WA	2756929	93564
Tahoe City, CA	Oklahoma City, OK	2590794	84588
Bandon, OR	Dallas, TX	3431878	115518
Glacier National Park	Tillamook, OR	1120321	40470
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Linville, NC	3957719	131573
Olympia, WA	Memphis, TN	3744745	125146
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Kansas City, MO	2891419	94257
Olympia, WA	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	2007958	69695
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	St. Louis, MO	3148165	104138
Olympia, WA	Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	779192	28966
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Black Canyon of the Gunnison National Park, Montrose, CO	1643277	55636
Tillamook, OR	Indianola, MS	3924558	128649
Page, AZ	Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	1079789	39874
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Lafayette, LA	3146181	104290
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	2358336	77361
Tahoe City, CA	San Antonio, TX	2826431	93050
Memphis, TN	Seattle, WA	3679972	122746
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1174364	43769
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1513412	54487
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Charleston, SC	3838206	124826
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Great Sand Dunes Visitor Center, Mosca, CO	1878574	68521
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Carlsbad, NM	1987213	66639
