waypoint1	waypoint2	distance_m	duration_s
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1526228	50684
C R 268A, Montezuma Creek, UT 84534	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	202352	8930
Little Rock, AR	Memphis, TN	220933	7480
Oklahoma City, OK	Spokane, WA	2833632	89185
Indianola, MS	Grand Canyon National Park	2314581	75858
C R 268A, Montezuma Creek, UT 84534	Atlanta, GA	2685611	89269
Teasdale, UT	New Orleans, LA	2621001	89736
Fajada Butte View Point, Nageezi, NM 87037	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2547212	85645
Carlsbad, NM	Indianola, MS	1414833	48007
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Little Rock, AR	2233290	75287
Carlsbad, NM	Atlanta, GA	1993702	64488
Lafayette, LA	Spokane, WA	3633094	118683
Spokane, WA	Great Sand Dunes Visitor Center, Mosca, CO	2030223	69513
Silverton, CO	Little Rock, AR	1832808	61021
Spokane, WA	Co Road 7515, Bloomfield, NM 87413	1895217	64233
Oklahoma City, OK	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	1501990	51511
Atlanta, GA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2815556	90583
San Antonio, TX	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1735260	59597
Natural Bridges Rd, Lake Powell, UT 84533	Las Cruces, NM	910126	31670
Albuquerque, NM	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2302757	74869
Tupelo, MS	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2380750	79139
Kansas City, MO	Black Canyon of the Gunnison National Park, Montrose, CO	1311753	45724
Tulsa, OK	Silverton, CO	1459273	49128
Dallas, TX	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1859549	64036
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Las Vegas, NV	731067	23165
Page, AZ	Yellowstone National Park Visitor Center	1183574	40426
Black Canyon of the Gunnison National Park, Montrose, CO	Terlingua, TX	1451628	53368
Albuquerque, NM	Great Sand Dunes Visitor Center, Mosca, CO	382166	14445
Silverton, CO	Yellowstone National Park Visitor Center	1209190	43974
Oljato-Monument Valley, UT	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	243135	9450
Albuquerque, NM	Richmond, VA	2945417	94746
Chimayo, NM	Great Sand Dunes Visitor Center, Mosca, CO	252052	10156
Richmond, VA	Co Road 7515, Bloomfield, NM 87413	3180059	103748
Atlanta, GA	New Orleans, LA	755576	23824
Little Rock, AR	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	905529	30698
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	C R 268A, Montezuma Creek, UT 84534	1723843	59350
Oljato-Monument Valley, UT	Silverton, CO	344766	14372
St. Louis, MO	Asheville, NC	964794	31856
Tupelo, MS	Grand Canyon National Park	2419954	78324
Chinle, AZ	Bryce Canyon National Park Visitor Center, Bryce, UT	514635	20282
Tupelo, MS	Terlingua, TX	1824573	60943
Kansas City, MO	C R 268A, Montezuma Creek, UT 84534	1493333	54359
Dallas, TX	Silverton, CO	1461023	49899
Oklahoma City, OK	Oljato-Monument Valley, UT	1382235	46688
Silverton, CO	Las Vegas, NV	935033	34287
Tupelo, MS	Great Sand Dunes Visitor Center, Mosca, CO	1848950	62700
Bryce Canyon National Park Visitor Center, Bryce, UT	Grand Canyon National Park	234441	10320
San Antonio, TX	Great Sand Dunes Visitor Center, Mosca, CO	1366071	46082
Natural Bridges Rd, Lake Powell, UT 84533	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	199930	8520
Indianola, MS	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	903540	32136
Kansas City, MO	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	1299624	44711
Albuquerque, NM	Grand Canyon National Park	633305	20791
Nashville, TN	Indianola, MS	553553	19600
Chimayo, NM	Terlingua, TX	920556	33928
Teasdale, UT	Yellowstone National Park Visitor Center	901428	31368
Grand Canyon National Park	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	495918	18006
Albuquerque, NM	Chinle, AZ	373041	13108
Black Canyon of the Gunnison National Park, Montrose, CO	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	290366	10784
Dallas, TX	Indianola, MS	678881	23885
Kansas City, MO	Co Road 7515, Bloomfield, NM 87413	1483511	51252
Kansas City, MO	Las Vegas, NV	2173662	68923
Nashville, TN	Yellowstone National Park Visitor Center	2668621	91712
Memphis, TN	Great Sand Dunes Visitor Center, Mosca, CO	1677026	56621
Co Road 7515, Bloomfield, NM 87413	Memphis, TN	1852908	60645
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Co Road 7515, Bloomfield, NM 87413	204595	10784
Savannah, GA	Terlingua, TX	2583302	83923
Terlingua, TX	Atlanta, GA	2185442	71498
Chattanooga, TN	New Orleans, LA	787411	25284
Fajada Butte View Point, Nageezi, NM 87037	Las Vegas, NV	849242	32016
Page, AZ	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	447465	16052
Flagstaff, AZ	Oklahoma City, OK	1390358	43967
Charleston, SC	Las Vegas, NV	3647827	117981
Fajada Butte View Point, Nageezi, NM 87037	Great Sand Dunes Visitor Center, Mosca, CO	408417	18359
Chinle, AZ	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	327115	12398
Indianola, MS	Black Canyon of the Gunnison National Park, Montrose, CO	1996114	71208
Albuquerque, NM	Chambers, AZ	302557	9658
Richmond, VA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	3247131	104595
Chinle, AZ	Charleston, SC	3096371	101419
Dallas, TX	Yellowstone National Park Visitor Center	2130258	77424
Linville, NC	Yellowstone National Park Visitor Center	3185597	109611
Dallas, TX	Terlingua, TX	928377	31640
Linville, NC	Oljato-Monument Valley, UT	2991646	99704
Chimayo, NM	Tulsa, OK	1075467	35172
Oklahoma City, OK	Richmond, VA	2077978	67457
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1980584	65631
Kansas City, MO	Spokane, WA	2508556	82289
Oklahoma City, OK	Chimayo, NM	906842	29886
Atlanta, GA	Great Sand Dunes Visitor Center, Mosca, CO	2291591	76931
Linville, NC	Chambers, AZ	2778685	89966
Chattanooga, TN	Indianola, MS	646663	22478
Terlingua, TX	Las Vegas, NV	1657427	55826
Page, AZ	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2928643	96859
Chimayo, NM	Spokane, WA	2098460	71944
Natural Bridges Rd, Lake Powell, UT 84533	Terlingua, TX	1467842	51360
Linville, NC	Tulsa, OK	1508630	50360
Oljato-Monument Valley, UT	Savannah, GA	3140559	103260
Lafayette, LA	Tulsa, OK	869416	29615
Bryce Canyon National Park Visitor Center, Bryce, UT	Memphis, TN	2494082	83002
Oljato-Monument Valley, UT	Las Vegas, NV	635132	22343
Kansas City, MO	Albuquerque, NM	1270268	43806
Carlsbad, NM	Silverton, CO	869581	31313
Bryce Canyon National Park Visitor Center, Bryce, UT	Yellowstone National Park Visitor Center	995394	33738
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Great Sand Dunes Visitor Center, Mosca, CO	1308082	45053
Chinle, AZ	Spokane, WA	1851336	61319
Albuquerque, NM	C R 268A, Montezuma Creek, UT 84534	456321	17506
Lafayette, LA	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1909115	64635
Chinle, AZ	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2738627	91596
Flagstaff, AZ	Carlsbad, NM	969292	31439
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	71849	4591
Oklahoma City, OK	Linville, NC	1613073	53570
Chattanooga, TN	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	2983450	99421
Indianola, MS	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2277311	76686
Natural Bridges Rd, Lake Powell, UT 84533	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2918593	99262
Kansas City, MO	Richmond, VA	1718886	56062
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Tulsa, OK	1466320	50386
Grand Canyon National Park	Asheville, NC	3060122	99147
Indianola, MS	Atlanta, GA	642873	22409
Nashville, TN	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	412597	16344
Terlingua, TX	New Orleans, LA	1612671	53196
Indianola, MS	Silverton, CO	2104711	71201
Oklahoma City, OK	Teasdale, UT	1637324	57016
Richmond, VA	Bryce Canyon National Park Visitor Center, Bryce, UT	3594988	116400
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Charleston, SC	3546415	118744
Memphis, TN	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	684870	23316
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1927015	63056
C R 268A, Montezuma Creek, UT 84534	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2755641	92177
Linville, NC	Charleston, SC	482270	17752
Dallas, TX	Spokane, WA	3004622	98849
Natural Bridges Rd, Lake Powell, UT 84533	Asheville, NC	2979698	99117
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	582297	23683
Chambers, AZ	New Orleans, LA	2152951	69670
Chimayo, NM	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2338498	76912
Nashville, TN	Chinle, AZ	2327918	75596
Nashville, TN	Fajada Butte View Point, Nageezi, NM 87037	2202769	73462
San Antonio, TX	Las Vegas, NV	2057364	65077
Albuquerque, NM	New Orleans, LA	1854779	60563
Chinle, AZ	Black Canyon of the Gunnison National Park, Montrose, CO	462208	19120
Tulsa, OK	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	1397547	48301
C R 268A, Montezuma Creek, UT 84534	St. Louis, MO	1890139	67297
Savannah, GA	Teasdale, UT	3376991	109557
Indianola, MS	Teasdale, UT	2451387	84374
Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	Las Vegas, NV	3223818	104341
Oklahoma City, OK	Atlanta, GA	1365622	44755
Tupelo, MS	Asheville, NC	787205	26520
Oljato-Monument Valley, UT	St. Louis, MO	2014261	70472
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Chinle, AZ	274432	11981
Bryce Canyon National Park Visitor Center, Bryce, UT	Spokane, WA	1590625	50676
San Antonio, TX	Richmond, VA	2445201	78556
Oljato-Monument Valley, UT	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2813891	93714
Kansas City, MO	Indianola, MS	951828	32603
Lafayette, LA	Great Sand Dunes Visitor Center, Mosca, CO	1771244	58985
Nashville, TN	Grand Canyon National Park	2588182	83280
Tulsa, OK	Spokane, WA	2855595	89764
Richmond, VA	Las Vegas, NV	3866373	124226
Las Cruces, NM	Asheville, NC	2633602	85165
St. Louis, MO	Atlanta, GA	892884	28817
Oklahoma City, OK	Yellowstone National Park Visitor Center	1959268	67759
Nashville, TN	St. Louis, MO	497700	16199
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Spokane, WA	1659366	52691
Indianola, MS	Memphis, TN	219054	8936
Chimayo, NM	Silverton, CO	391015	16677
Oljato-Monument Valley, UT	Charleston, SC	3237276	107265
Carlsbad, NM	Yellowstone National Park Visitor Center	1824000	65494
Chinle, AZ	Chimayo, NM	509627	17801
Nashville, TN	Chambers, AZ	2257287	71926
Oklahoma City, OK	Fajada Butte View Point, Nageezi, NM 87037	1113048	38465
Chambers, AZ	Terlingua, TX	1178350	39356
Savannah, GA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	637344	22099
Chimayo, NM	Natural Bridges Rd, Lake Powell, UT 84533	551716	22629
Spokane, WA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3740366	122931
San Antonio, TX	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1734634	59161
Fajada Butte View Point, Nageezi, NM 87037	New Orleans, LA	2097703	71140
Dallas, TX	C R 268A, Montezuma Creek, UT 84534	1492785	51109
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Tupelo, MS	1589369	54166
Nashville, TN	Chimayo, NM	1994855	64861
Lafayette, LA	Indianola, MS	517433	18009
Chattanooga, TN	Dallas, TX	1261198	40348
Albuquerque, NM	Atlanta, GA	2231566	71991
Chinle, AZ	Savannah, GA	2999929	97366
Silverton, CO	Grand Canyon National Park	544162	20694
Chinle, AZ	Atlanta, GA	2602331	84871
Page, AZ	Little Rock, AR	2039148	67011
Page, AZ	St. Louis, MO	2165180	74882
Chambers, AZ	Black Canyon of the Gunnison National Park, Montrose, CO	528737	21338
C R 268A, Montezuma Creek, UT 84534	Co Road 7515, Bloomfield, NM 87413	231306	10611
Kansas City, MO	Chimayo, NM	1261074	43480
Fajada Butte View Point, Nageezi, NM 87037	Tupelo, MS	2034541	68506
Natural Bridges Rd, Lake Powell, UT 84533	Atlanta, GA	2780729	92452
Silverton, CO	Natural Bridges Rd, Lake Powell, UT 84533	346900	14800
Indianola, MS	Yellowstone National Park Visitor Center	2694464	92721
St. Louis, MO	Natural Bridges Rd, Lake Powell, UT 84533	2122599	69901
Spokane, WA	St. Louis, MO	2905987	95283
Nashville, TN	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2422170	77701
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	555531	18502
Indianola, MS	Las Cruces, NM	1773672	58238
Page, AZ	Chambers, AZ	407010	13963
Las Cruces, NM	Memphis, TN	1821400	58228
C R 268A, Montezuma Creek, UT 84534	Great Sand Dunes Visitor Center, Mosca, CO	421140	18962
Kansas City, MO	Chinle, AZ	1638273	56578
Richmond, VA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	694705	23697
New Orleans, LA	Asheville, NC	1088323	35593
Chambers, AZ	Atlanta, GA	2529738	81098
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Natural Bridges Rd, Lake Powell, UT 84533	1721119	58654
Teasdale, UT	Grand Canyon National Park	385577	17450
Kansas City, MO	Fajada Butte View Point, Nageezi, NM 87037	1493219	53033
Chattanooga, TN	Chinle, AZ	2533406	82096
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Little Rock, AR	1373455	44524
Great Sand Dunes Visitor Center, Mosca, CO	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2351081	78247
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Charleston, SC	2467665	80171
Kansas City, MO	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	695205	22414
Fajada Butte View Point, Nageezi, NM 87037	Terlingua, TX	1161575	41941
Lafayette, LA	Fajada Butte View Point, Nageezi, NM 87037	1912828	64411
Chattanooga, TN	C R 268A, Montezuma Creek, UT 84534	2616685	86494
San Antonio, TX	Tulsa, OK	854458	29606
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Grand Canyon National Park	2017408	68427
Chambers, AZ	Savannah, GA	2927598	93522
Co Road 7515, Bloomfield, NM 87413	Las Vegas, NV	921490	31422
Tupelo, MS	Atlanta, GA	452910	14821
Oklahoma City, OK	San Antonio, TX	751672	25085
Fajada Butte View Point, Nageezi, NM 87037	Asheville, NC	2674709	89330
Las Cruces, NM	Atlanta, GA	2352540	74719
Chinle, AZ	C R 268A, Montezuma Creek, UT 84534	224171	9149
Flagstaff, AZ	Chambers, AZ	221048	7101
Fajada Butte View Point, Nageezi, NM 87037	Bryce Canyon National Park Visitor Center, Bryce, UT	725785	28556
Albuquerque, NM	Fajada Butte View Point, Nageezi, NM 87037	247892	10974
Carlsbad, NM	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1042182	36799
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Las Vegas, NV	265016	9893
Chinle, AZ	Dallas, TX	1409505	46711
Albuquerque, NM	Charleston, SC	2726142	88420
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Tulsa, OK	1013055	35418
Tulsa, OK	Memphis, TN	646451	21220
San Antonio, TX	Grand Canyon National Park	1775278	58445
Tulsa, OK	C R 268A, Montezuma Creek, UT 84534	1493031	50214
Dallas, TX	Grand Canyon National Park	1669769	54395
Bryce Canyon National Park Visitor Center, Bryce, UT	Terlingua, TX	1755928	61532
Chinle, AZ	New Orleans, LA	2222852	73274
Page, AZ	Richmond, VA	3571303	116735
Lafayette, LA	Memphis, TN	705032	23050
Carlsbad, NM	Richmond, VA	2789646	91024
Kansas City, MO	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1998125	64260
San Antonio, TX	Chinle, AZ	1515014	50762
Terlingua, TX	Asheville, NC	2466503	81944
Indianola, MS	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	879001	31055
Terlingua, TX	Great Sand Dunes Visitor Center, Mosca, CO	1168278	43432
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Memphis, TN	2437810	81886
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	C R 268A, Montezuma Creek, UT 84534	516367	21011
Richmond, VA	Charleston, SC	681623	21784
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Carlsbad, NM	875463	32500
Nashville, TN	Terlingua, TX	1995084	66108
Teasdale, UT	Las Cruces, NM	1127185	40381
Linville, NC	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2939243	95562
San Antonio, TX	Fajada Butte View Point, Nageezi, NM 87037	1389865	48628
Dallas, TX	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1633624	55384
Co Road 7515, Bloomfield, NM 87413	Great Sand Dunes Visitor Center, Mosca, CO	384520	16953
Page, AZ	Albuquerque, NM	630271	22540
Oklahoma City, OK	Savannah, GA	1761986	57126
Little Rock, AR	Black Canyon of the Gunnison National Park, Montrose, CO	1725043	60995
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Asheville, NC	84161	4037
Linville, NC	Dallas, TX	1589749	52789
Savannah, GA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	3214275	103082
Carlsbad, NM	Nashville, TN	1803344	59098
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Atlanta, GA	3052375	102197
Co Road 7515, Bloomfield, NM 87413	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2537504	83863
C R 268A, Montezuma Creek, UT 84534	Grand Canyon National Park	377167	14967
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Tupelo, MS	2609734	87965
Tulsa, OK	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1330875	44370
Bryce Canyon National Park Visitor Center, Bryce, UT	Little Rock, AR	2289011	76305
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Terlingua, TX	1343293	48645
Flagstaff, AZ	St. Louis, MO	2190216	69548
Carlsbad, NM	Bryce Canyon National Park Visitor Center, Bryce, UT	1325785	46598
Silverton, CO	Tupelo, MS	2208150	73654
Chattanooga, TN	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1797242	57908
Chattanooga, TN	Grand Canyon National Park	2793670	89779
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Linville, NC	2905850	98262
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Richmond, VA	3157507	108439
Chattanooga, TN	Kansas City, MO	1103585	35745
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Oljato-Monument Valley, UT	383461	14794
Silverton, CO	Teasdale, UT	528665	21119
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Grand Canyon National Park	443096	17639
Lafayette, LA	Little Rock, AR	567564	21329
Teasdale, UT	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	251941	9745
Linville, NC	Atlanta, GA	424597	15801
Chinle, AZ	Tupelo, MS	2159690	70640
Savannah, GA	Indianola, MS	1040471	34903
Bryce Canyon National Park Visitor Center, Bryce, UT	Tulsa, OK	1915476	64412
Flagstaff, AZ	Dallas, TX	1560734	50024
Natural Bridges Rd, Lake Powell, UT 84533	Yellowstone National Park Visitor Center	1094510	39194
Little Rock, AR	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	971794	34515
Savannah, GA	Little Rock, AR	1233097	40285
Albuquerque, NM	Linville, NC	2480513	80859
Silverton, CO	Memphis, TN	2037879	67718
Indianola, MS	Charleston, SC	1136913	38956
C R 268A, Montezuma Creek, UT 84534	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2821907	95994
Page, AZ	Bryce Canyon National Park Visitor Center, Bryce, UT	243969	9292
San Antonio, TX	C R 268A, Montezuma Creek, UT 84534	1598294	55160
Tulsa, OK	Grand Canyon National Park	1670015	53499
Great Sand Dunes Visitor Center, Mosca, CO	Asheville, NC	2478577	81932
Las Cruces, NM	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2612946	84352
Dallas, TX	Memphis, TN	727570	23649
Carlsbad, NM	Dallas, TX	736637	24630
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Las Vegas, NV	833968	31233
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Co Road 7515, Bloomfield, NM 87413	1606260	57986
Memphis, TN	Las Vegas, NV	2539222	81124
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Las Vegas, NV	2156120	70293
Kansas City, MO	Great Sand Dunes Visitor Center, Mosca, CO	1119895	37661
Lafayette, LA	Kansas City, MO	1215438	42489
Carlsbad, NM	Oljato-Monument Valley, UT	961169	34159
Yellowstone National Park Visitor Center	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	931829	32461
Savannah, GA	Black Canyon of the Gunnison National Park, Montrose, CO	2996598	99728
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Oljato-Monument Valley, UT	243871	11372
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Grand Canyon National Park	177915	8726
Co Road 7515, Bloomfield, NM 87413	Charleston, SC	2961513	97503
Silverton, CO	Terlingua, TX	1336195	46962
Lafayette, LA	Chimayo, NM	1704716	55618
Flagstaff, AZ	Chattanooga, TN	2679717	85252
Richmond, VA	Indianola, MS	1498387	50102
Richmond, VA	Memphis, TN	1327530	43193
Chinle, AZ	Asheville, NC	2799858	91464
Chambers, AZ	Yellowstone National Park Visitor Center	1372733	48596
Linville, NC	Indianola, MS	1055921	36968
Kansas City, MO	Terlingua, TX	1633291	53764
Chattanooga, TN	Las Cruces, NM	2355989	74700
Tupelo, MS	Yellowstone National Park Visitor Center	2671143	94632
San Antonio, TX	Yellowstone National Park Visitor Center	2383782	84409
Atlanta, GA	Yellowstone National Park Visitor Center	3063883	104482
Lafayette, LA	Chinle, AZ	2037976	66545
Fajada Butte View Point, Nageezi, NM 87037	Chambers, AZ	227481	12193
C R 268A, Montezuma Creek, UT 84534	Las Cruces, NM	813616	28038
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Chambers, AZ	340961	14198
Chambers, AZ	Tupelo, MS	2086776	66762
Austin, TX	Savannah, GA	1818082	60344
Austin, TX	Spokane, WA	3233524	105932
Natural Bridges Rd, Lake Powell, UT 84533	Vicksburg, MS	2170214	73023
Natural Bridges Rd, Lake Powell, UT 84533	Austin, TX	1666967	58865
Vicksburg, MS	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1728719	57698
Teasdale, UT	Vicksburg, MS	2387273	81735
Austin, TX	Memphis, TN	1041331	33953
Teasdale, UT	Charlottesville, VA	3300401	107594
Flagstaff, AZ	Austin, TX	1637060	54528
Charlottesville, VA	Chinle, AZ	3204179	104055
Las Cruces, NM	Vicksburg, MS	1676009	53297
Vicksburg, MS	Charleston, SC	1174796	38572
Chimayo, NM	Vicksburg, MS	1656791	54604
Austin, TX	Terlingua, TX	781363	27310
Charlottesville, VA	St. Louis, MO	1212468	39593
Vicksburg, MS	Yellowstone National Park Visitor Center	2776939	95637
Flagstaff, AZ	Vicksburg, MS	2140307	68686
Chambers, AZ	Charlottesville, VA	3134144	100377
Austin, TX	Black Canyon of the Gunnison National Park, Montrose, CO	1593985	57153
Vicksburg, MS	St. Louis, MO	849685	27780
Bryce Canyon National Park Visitor Center, Bryce, UT	Charlottesville, VA	3485543	112924
Charlottesville, VA	Spokane, WA	4066441	132467
Charlottesville, VA	Grand Canyon National Park	3464443	111739
Vicksburg, MS	Las Vegas, NV	2540707	82016
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Vicksburg, MS	2213197	74046
Charlottesville, VA	Richmond, VA	115982	4125
Austin, TX	Grand Canyon National Park	1745382	58742
Oljato-Monument Valley, UT	Austin, TX	1628937	57249
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Austin, TX	1709950	59888
Charlottesville, VA	Carlsbad, NM	2679902	87684
Vicksburg, MS	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	2439295	82779
Charlottesville, VA	Chattanooga, TN	768772	25220
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Charlottesville, VA	3137686	101119
Austin, TX	Little Rock, AR	827923	26953
Charlottesville, VA	New Orleans, LA	1553350	50203
Austin, TX	Great Sand Dunes Visitor Center, Mosca, CO	1341448	46180
Austin, TX	Indianola, MS	915242	33011
Vicksburg, MS	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	2045819	70024
Oljato-Monument Valley, UT	Charlottesville, VA	3224238	109660
Vicksburg, MS	Savannah, GA	1078079	34567
Charlottesville, VA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	583968	20089
Austin, TX	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1541687	55629
Charlottesville, VA	Vicksburg, MS	1448368	46964
Austin, TX	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1935163	68384
Charlottesville, VA	Kansas City, MO	1608150	52453
Charlottesville, VA	Linville, NC	471318	17244
Charlottesville, VA	Las Cruces, NM	3038355	98077
Austin, TX	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	1754515	59126
Charlottesville, VA	Savannah, GA	865744	27577
Austin, TX	C R 268A, Montezuma Creek, UT 84534	1568398	55457
Austin, TX	Carlsbad, NM	765487	25891
Flagstaff, AZ	Charlottesville, VA	3355228	107394
Austin, TX	Nashville, TN	1382113	45053
Chambers, AZ	Vicksburg, MS	1919223	61669
Vicksburg, MS	Chattanooga, TN	683668	22124
Austin, TX	Asheville, NC	1853532	60890
Austin, TX	St. Louis, MO	1328322	45426
Vicksburg, MS	San Antonio, TX	943734	32415
